# time cosTheta cosPsi phi tag mistag
0.271308 0.942006 -0.858867 2.70821 -1 0
0.551393 0.741682 0.154759 1.56496 1 0
3.32194 -0.61197 -0.0342593 -0.427899 -1 0
2.46661 -0.448692 -0.425432 -0.439598 1 0
0.468945 0.969142 0.813063 3.10913 -1 0
2.16215 -0.698307 -0.947834 -1.40947 1 0
1.22289 0.531653 0.95786 -2.48099 1 0
3.94728 0.238237 0.985721 2.23192 1 0
1.61326 0.21338 0.260221 -0.818514 1 0
0.443867 0.488012 0.104972 -2.45356 1 0
1.42226 0.42844 -0.760786 2.82174 -1 0
0.647169 -0.602084 0.769546 -2.60715 1 0
1.12714 -0.870971 0.670898 0.915552 1 0
1.28781 -0.959591 -0.199553 1.49062 -1 0
1.86015 -0.96192 -0.916859 -1.51583 1 0
1.06594 -0.326526 -0.0627137 -2.25884 -1 0
2.38329 0.968611 -0.407989 -1.61501 -1 0
0.727205 -0.966346 -0.752006 -1.74748 -1 0
0.464063 -0.706549 0.23495 0.921153 1 0
4.52776 0.0139078 -0.378382 -0.1182 -1 0
0.200918 0.0950466 -0.573898 1.6447 -1 0
0.235602 -0.87219 -0.890841 -1.36449 1 0
1.00464 0.365477 -0.925595 -1.17935 1 0
0.131588 0.0690534 0.237821 2.77528 1 0
3.67689 -0.873143 -0.985871 2.02055 -1 0
0.275294 0.920951 0.907083 1.84255 -1 0
0.640496 0.248933 0.0884895 -2.82029 -1 0
1.03502 -0.252699 -0.332921 0.0370273 1 0
1.9112 -0.978741 -0.991558 0.678609 -1 0
0.761566 0.817041 0.271697 0.673821 1 0
1.32442 -0.000642627 0.0720341 -0.57222 -1 0
0.143132 -0.973924 -0.179839 0.680145 1 0
1.65186 0.651018 -0.99797 2.55892 1 0
0.757446 0.860392 -0.883446 2.31449 -1 0
0.204103 -0.92755 -0.991992 -1.38357 -1 0
0.298078 0.365088 -0.720653 -1.10923 1 0
1.64498 0.804095 0.22766 -0.17422 1 0
2.25924 0.90307 0.814905 -0.798266 -1 0
2.61545 0.129686 -0.266983 1.38602 1 0
0.25298 0.19444 0.540639 2.62098 1 0
0.658295 -0.707141 -0.755789 -1.31129 1 0
0.305995 0.657379 -0.953542 2.34197 -1 0
0.698776 -0.772821 0.938395 -2.06844 -1 0
0.522994 -0.989062 -0.542351 -0.140395 -1 0
0.516837 0.98085 0.0413707 2.82754 -1 0
1.30556 0.9058 -0.988258 2.66657 1 0
1.47097 -0.211909 0.79156 -1.6494 -1 0
1.1348 -0.662027 -0.645989 1.74032 -1 0
0.0587953 0.880968 -0.719983 2.04673 1 0
3.13547 -0.373502 -0.721355 1.13381 1 0
0.716284 0.521572 -0.655877 0.840449 1 0
0.287292 0.791969 -0.839265 -2.53764 -1 0
5.00949 0.0852718 0.120646 2.7461 -1 0
0.265751 0.762844 0.662321 -1.01339 -1 0
0.0928495 0.754037 -0.143665 2.84777 -1 0
0.321753 0.269056 0.857022 1.12121 1 0
1.01466 0.802073 -0.797838 2.67112 1 0
0.472149 0.408076 0.744274 0.304606 -1 0
0.756681 0.457534 0.569854 -0.401041 1 0
2.63748 -0.0973023 -0.605698 2.91188 -1 0
0.371574 -0.0989117 0.601957 -1.47289 1 0
0.373372 -0.461476 0.36599 -2.22791 -1 0
5.0977 0.767891 0.573139 -1.59818 1 0
3.52523 -0.456249 -0.648818 2.96211 -1 0
2.78573 0.822728 -0.830411 2.10277 1 0
1.07497 0.164945 0.871202 1.10412 1 0
2.21367 -0.693411 -0.766588 -0.921565 -1 0
2.74178 -0.37946 -0.912002 -1.87187 1 0
0.334314 0.451466 0.755505 -1.74347 1 0
1.56154 -0.0418657 -0.75317 -1.87783 -1 0
0.140423 -0.56121 -0.464109 -1.61551 1 0
1.16423 0.881098 -0.0836314 0.927955 -1 0
0.898551 0.543827 -0.237541 -0.610222 -1 0
2.02525 -0.680256 0.78024 2.22202 -1 0
1.64866 -0.954291 0.932852 -2.50904 -1 0
0.675438 -0.509872 -0.354294 0.345525 1 0
1.00511 -0.37106 0.38572 -0.866806 -1 0
1.46768 -0.475928 0.949323 1.39543 -1 0
0.776384 0.921208 0.894515 2.26767 -1 0
2.15547 -0.460711 0.827623 1.71586 -1 0
0.150239 -0.605116 0.467018 2.43446 -1 0
1.88313 -0.346185 0.740136 2.28706 -1 0
1.9124 -0.572401 -0.782783 0.32711 1 0
1.72843 -0.776057 -0.213564 1.58893 1 0
3.10252 -0.677332 0.651037 0.982283 -1 0
0.345008 0.882175 -0.553619 -1.10666 -1 0
0.0697289 -0.39429 0.00506543 0.507545 1 0
4.23073 -0.903313 0.754945 -1.02374 -1 0
0.592882 0.851597 0.88882 -1.92758 -1 0
0.0330771 -0.442518 -0.761844 -2.92946 1 0
1.2198 0.598847 -0.770006 2.61095 -1 0
3.44998 0.393484 0.833289 3.05688 -1 0
1.80489 0.450679 0.862893 -1.34092 -1 0
0.433519 -0.118367 0.785065 -0.939387 -1 0
1.99901 0.703781 0.462588 2.62945 1 0
0.156192 -0.764182 0.84971 2.79426 1 0
4.69813 0.758489 0.294485 2.0464 -1 0
0.713498 0.775396 -0.995794 2.7177 -1 0
0.452293 0.238809 0.950251 -1.81078 1 0
0.0638689 -0.798594 -0.577952 -0.605585 -1 0
1.87064 0.779024 0.454494 -0.798154 1 0
0.0215558 0.971268 0.455485 0.38486 1 0
3.96412 0.890827 -0.770696 -1.3864 1 0
0.127601 0.217506 0.255667 0.277954 1 0
9.48718 0.929826 0.905222 -1.23807 1 0
1.19045 0.871291 -0.691348 3.02051 -1 0
1.61874 0.724585 0.814096 -0.649817 1 0
0.417944 0.530241 0.80272 -1.17456 1 0
1.35949 0.49188 0.313143 -2.8739 -1 0
0.16669 0.253913 -0.451426 1.65028 -1 0
1.46382 -0.375563 -0.646216 0.748517 -1 0
0.0562675 -0.789155 0.739531 2.06503 1 0
0.293865 0.252544 0.601684 -2.14733 -1 0
0.281668 -0.458116 -0.626697 0.303721 1 0
0.023572 0.143824 -0.717065 1.43567 1 0
0.278392 -0.541748 0.897313 -1.35331 -1 0
0.476797 -0.515028 -0.630552 1.35237 -1 0
2.55459 0.731249 0.928597 -1.61872 1 0
0.289647 0.970334 -0.30423 2.38994 1 0
2.57235 0.010422 -0.0632647 1.43675 -1 0
0.451925 0.997193 -0.654989 -1.33617 1 0
1.1196 0.971904 0.797212 -0.612619 -1 0
1.47358 -0.105516 -0.259186 1.28664 -1 0
3.1308 0.665886 -0.323079 2.77601 -1 0
0.627473 -0.903534 -0.866398 -1.15591 -1 0
0.833672 0.00613835 0.176481 0.708765 1 0
1.41286 -0.745258 -0.892523 0.255014 1 0
0.843942 0.0498018 -0.611839 -2.47573 1 0
3.69205 -0.550781 -0.725645 -2.73337 -1 0
0.949998 -0.644569 -0.915384 -2.74483 -1 0
0.599585 -0.00380868 -0.0475341 2.0529 -1 0
1.48845 -0.90044 -0.905121 -1.26746 -1 0
4.01876 -0.63607 -0.438119 -1.18888 1 0
2.72155 0.107761 -0.0490763 2.3535 1 0
1.25732 -0.82041 0.80768 0.217639 1 0
0.27068 0.587032 -0.667447 0.937465 -1 0
2.13526 -0.337201 -0.37962 0.829383 -1 0
